Garmisch-Partenkirchen DWD normal
 47,483        11,067        719           1 

 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
 1	937	-10.2	90	0	0	7	0.8	220
 2	933	-9.9	90	0	0	7	0.8	240
 3	930	-9.7	89	0	0	7	1.0	250
 4	930	-9.8	89	0	0	7	1.0	270
 5	929	-9.8	89	0	0	7	1.0	220
 6	929	-10.0	89	0	0	7	1.0	220
 7	928	-9.6	90	0	0	7	1.0	260
 8	928	-9.2	89	0	0	7	1.0	290
 9	927	-7.3	90	4	27	7	1.0	230
 10	927	-5.5	86	25	96	7	1.0	210
 11	927	-4.5	83	41	138	7	1.0	150
 12	926	-1.4	72	49	157	7	1.0	220
 13	925	2.3	56	94	164	6	1.0	230
 14	924	3.9	58	72	137	6	1.0	160
 15	924	0.8	62	27	83	7	1.0	280
 16	924	-1.0	74	2	11	7	1.0	220
 17	924	-0.4	76	0	0	7	1.0	250
 18	924	-0.4	78	0	0	7	1.0	200
 19	923	-0.7	81	0	0	7	1.0	170
 20	924	-1.2	82	0	0	7	1.0	230
 21	923	-1.5	83	0	0	8	2.0	200
 22	923	-1.1	81	0	0	8	2.0	220
 23	923	-1.1	82	0	0	8	1.0	230
 24	923	-1.1	79	0	0	8	2.0	320
 25	923	-1.8	82	0	0	8	1.0	240
 26	924	-1.8	86	0	0	8	1.0	230
 27	925	-2.5	85	0	0	8	1.0	360
 28	924	-2.8	87	0	0	8	1.0	170
 29	924	-3.2	87	0	0	8	1.0	210
 30	924	-3.9	87	0	0	8	1.0	190
 31	922	-4.0	88	0	0	8	1.0	280
 32	921	-3.4	85	0	0	8	1.0	210
 33	920	-3.4	85	7	34	8	1.0	270
 34	921	-1.0	81	13	78	8	1.0	80
 35	923	1.6	72	21	113	8	1.0	300
 36	923	3.4	73	25	129	8	1.0	40
 37	922	7.1	55	48	154	7	1.0	240
 38	922	8.2	61	36	126	7	1.0	150
 39	923	5.5	65	9	62	8	0.0	0
 40	923	3.8	76	1	10	8	1.0	170
 41	923	2.7	81	0	0	8	1.0	290
 42	923	1.9	84	0	0	8	1.0	210
 43	923	1.3	86	0	0	8	1.0	210
 44	922	0.9	88	0	0	8	2.0	210
 45	922	0.5	88	0	0	8	1.0	180
 46	922	0.0	90	0	0	8	1.0	250
 47	922	0.3	90	0	0	8	1.0	320
 48	923	0.7	90	0	0	8	0.0	0
 49	924	1.9	90	0	0	8	2.0	210
 50	924	2.0	92	0	0	8	1.0	240
 51	924	2.2	93	0	0	8	1.0	260
 52	924	2.1	94	0	0	8	1.0	230
 53	924	2.2	94	0	0	8	1.0	280
 54	925	1.6	94	0	0	8	2.0	230
 55	925	2.0	94	0	0	8	1.0	320
 56	926	1.7	94	0	0	7	1.0	240
 57	927	1.5	94	4	28	7	1.0	190
 58	927	1.6	94	25	97	7	1.0	290
 59	928	1.9	94	41	139	7	1.0	200
 60	928	3.4	94	99	170	6	1.0	180
 61	928	4.2	91	48	155	7	2.0	180
 62	928	3.9	89	73	139	6	2.0	240
 63	928	3.8	89	28	86	7	1.0	250
 64	929	3.3	92	6	15	7	1.0	210
 65	929	1.9	90	0	0	7	1.0	250
 66	930	0.6	92	0	0	7	1.0	290
 67	930	-0.6	93	0	0	7	1.0	250
 68	931	-1.1	93	0	0	7	1.0	210
 69	931	-1.2	94	0	0	7	1.0	210
 70	931	-1.8	94	0	0	7	0.0	0
 71	930	-2.1	94	0	0	8	1.0	180
 72	929	-2.5	94	0	0	8	1.0	250
 73	929	-2.9	93	0	0	8	1.0	240
 74	928	-2.8	94	0	0	8	1.0	300
 75	927	-3.1	93	0	0	8	1.0	250
 76	927	-3.1	93	0	0	8	0.0	0
 77	926	-3.0	93	0	0	8	0.0	0
 78	925	-3.4	93	0	0	8	1.0	290
 79	925	-2.8	94	0	0	8	1.0	250
 80	924	-2.5	94	0	0	8	1.0	260
 81	923	-1.4	94	4	28	8	2.0	240
 82	923	-0.5	93	0	48	8	1.0	290
 83	922	0.2	94	0	71	8	1.0	310
 84	922	0.9	93	0	82	8	1.0	30
 85	921	2.7	90	0	80	8	1.0	200
 86	922	3.4	84	0	65	8	1.0	320
 87	923	5.0	67	0	39	8	3.0	250
 88	923	5.9	66	0	7	8	2.0	190
 89	924	4.7	70	0	0	8	1.0	190
 90	925	3.5	78	0	0	8	1.0	210
 91	926	3.8	78	0	0	8	2.0	210
 92	926	3.7	82	0	0	8	2.0	230
 93	927	2.0	87	0	0	8	0.0	0
 94	927	1.1	89	0	0	8	0.0	0
 95	927	0.8	91	0	0	8	0.0	0
 96	928	0.4	92	0	0	8	0.0	0
 97	928	-0.4	92	0	0	8	1.0	270
 98	927	-0.7	92	0	0	8	1.0	270
 99	927	-1.3	93	0	0	8	1.0	250
 100	927	-1.6	91	0	0	8	0.0	0
 101	926	-2.3	92	0	0	8	1.0	250
 102	925	-2.2	93	0	0	8	1.0	240
 103	924	-1.8	93	0	0	8	1.0	250
 104	924	-1.2	92	0	0	8	1.0	240
 105	923	-0.4	91	0	17	8	1.0	220
 106	921	0.8	86	0	48	8	2.0	230
 107	920	2.0	81	0	72	8	1.0	280
 108	920	3.7	76	0	83	8	1.0	80
 109	919	5.5	62	0	81	8	1.0	320
 110	919	6.9	58	0	66	8	1.0	200
 111	917	6.7	64	0	39	8	1.0	220
 112	917	6.5	66	0	7	8	1.0	200
 113	917	5.4	65	0	0	8	1.0	190
 114	918	5.4	62	0	0	8	1.0	250
 115	918	4.6	69	0	0	8	1.0	240
 116	917	4.2	69	0	0	8	2.0	260
 117	917	3.3	70	0	0	8	2.0	230
 118	917	3.2	74	0	0	8	2.0	220
 119	917	5.2	64	0	0	8	2.0	280
 120	917	3.1	72	0	0	8	2.0	210
 121	917	5.3	66	0	0	8	2.0	230
 122	917	6.5	57	0	0	8	2.0	210
 123	918	4.8	64	0	0	8	1.0	130
 124	918	4.8	65	0	0	8	1.0	70
 125	918	2.7	74	0	0	8	1.0	200
 126	919	1.8	80	0	0	8	0.0	0
 127	919	1.7	82	0	0	8	2.0	200
 128	919	1.3	83	0	0	8	1.0	260
 129	920	0.8	86	4	28	8	0.0	0
 130	922	1.9	85	13	79	8	1.0	280
 131	923	4.2	80	21	115	8	1.0	210
 132	922	7.7	63	25	132	8	1.0	250
 133	922	9.4	60	25	129	8	2.0	60
 134	922	9.8	63	19	107	8	3.0	60
 135	923	8.5	67	0	40	8	3.0	60
 136	924	7.7	69	0	8	8	3.0	60
 137	924	6.2	74	0	0	8	4.0	60
 138	925	5.1	83	0	0	8	3.0	70
 139	925	4.5	88	0	0	8	4.0	60
 140	926	3.2	90	0	0	8	3.0	80
 141	926	3.0	90	0	0	8	2.0	110
 142	926	2.9	89	0	0	8	1.0	100
 143	926	2.7	91	0	0	8	2.0	100
 144	927	2.7	92	0	0	8	0.0	0
 145	927	2.6	92	0	0	8	1.0	140
 146	927	2.3	91	0	0	8	2.0	70
 147	928	1.9	92	0	0	8	1.0	130
 148	928	1.7	92	0	0	8	1.0	100
 149	928	1.5	92	0	0	8	0.0	0
 150	929	1.4	92	0	0	8	1.0	50
 151	929	0.6	92	0	0	8	1.0	110
 152	929	0.5	92	0	0	8	0.0	0
 153	929	0.3	92	0	17	8	0.0	0
 154	930	0.4	93	0	49	8	1.0	200
 155	930	0.8	93	0	72	8	1.0	120
 156	930	1.3	92	0	84	8	1.0	180
 157	929	2.3	91	0	82	8	1.0	120
 158	929	2.7	89	0	67	8	1.0	120
 159	929	2.3	89	0	41	8	1.0	70
 160	929	1.4	90	0	8	8	1.0	70
 161	929	0.9	91	0	0	8	1.0	100
 162	929	0.4	92	0	0	8	0.0	0
 163	930	0.3	92	0	0	8	0.0	0
 164	930	0.2	92	0	0	8	0.0	0
 165	930	0.2	92	0	0	8	0.0	0
 166	930	0.2	93	0	0	8	0.0	0
 167	929	0.2	93	0	0	8	0.0	0
 168	929	0.2	93	0	0	8	0.0	0
 169	929	0.2	93	0	0	8	0.0	0
 170	929	0.1	93	0	0	8	0.0	0
 171	929	0.1	93	0	0	8	0.0	0
 172	928	0.2	94	0	0	8	0.0	0
 173	928	0.1	94	0	0	8	0.0	0
 174	928	0.1	94	0	0	8	0.0	0
 175	928	0.2	94	0	0	8	0.0	0
 176	928	0.2	94	0	0	8	0.0	0
 177	928	0.3	94	0	17	8	0.0	0
 178	929	0.4	94	0	49	8	0.0	0
 179	929	0.7	93	0	73	8	0.0	0
 180	929	0.6	92	0	84	8	0.0	0
 181	928	0.6	91	0	83	8	1.0	120
 182	928	0.7	91	0	68	8	2.0	110
 183	928	0.5	91	0	42	8	2.0	110
 184	928	0.5	92	0	9	8	1.0	120
 185	928	0.4	92	0	0	8	1.0	120
 186	928	0.3	92	0	0	8	1.0	100
 187	929	0.2	93	0	0	8	1.0	110
 188	929	0.2	93	0	0	8	0.0	0
 189	929	0.1	93	0	0	8	1.0	100
 190	929	0.1	93	0	0	8	0.0	0
 191	930	0.2	93	0	0	8	0.0	0
 192	930	0.1	94	0	0	8	0.0	0
 193	930	0.1	94	0	0	8	0.0	0
 194	930	0.1	94	0	0	8	0.0	0
 195	931	0.1	94	0	0	8	0.0	0
 196	931	0.2	94	0	0	8	0.0	0
 197	931	0.2	94	0	0	8	1.0	90
 198	931	0.1	94	0	0	8	2.0	60
 199	932	0.1	92	0	0	8	2.0	30
 200	932	0.0	90	0	0	8	2.0	90
 201	933	-0.1	91	0	18	8	1.0	100
 202	934	-0.1	90	13	81	8	0.0	0
 203	934	0.4	86	21	118	8	0.0	0
 204	934	0.4	86	52	165	7	0.0	0
 205	933	1.3	79	51	162	7	0.0	0
 206	933	3.0	71	79	147	6	0.0	0
 207	932	0.9	80	64	86	6	1.0	210
 208	932	-1.1	88	13	21	6	1.0	210
 209	932	-2.8	89	0	0	6	2.0	250
 210	932	-3.8	91	0	0	6	1.0	230
 211	932	-4.8	91	0	0	6	1.0	220
 212	931	-5.5	92	0	0	6	1.0	200
 213	931	-5.2	92	0	0	6	0.0	0
 214	931	-5.7	91	0	0	7	1.0	200
 215	930	-5.7	91	0	0	7	1.0	190
 216	930	-5.4	92	0	0	7	1.0	180
 217	930	-5.0	92	0	0	7	1.0	200
 218	930	-4.4	93	0	0	7	1.0	180
 219	931	-4.0	93	0	0	7	1.0	220
 220	930	-4.1	92	0	0	7	1.0	280
 221	930	-4.7	91	0	0	7	0.0	0
 222	930	-4.9	92	0	0	8	1.0	190
 223	930	-4.4	93	0	0	8	1.0	200
 224	930	-3.8	93	0	0	8	1.0	230
 225	931	-2.7	93	4	30	8	1.0	350
 226	931	-1.8	94	0	50	8	1.0	250
 227	932	-0.6	94	0	74	8	1.0	290
 228	932	0.4	94	0	86	8	1.0	220
 229	931	1.1	92	0	84	8	1.0	330
 230	931	1.8	90	20	112	8	2.0	230
 231	932	1.7	90	0	43	8	1.0	290
 232	932	1.3	91	0	10	8	1.0	220
 233	932	1.2	92	0	0	8	1.0	360
 234	932	0.8	92	0	0	8	1.0	240
 235	932	0.7	93	0	0	8	0.0	0
 236	932	0.6	93	0	0	8	1.0	340
 237	932	0.3	94	0	0	8	0.0	0
 238	932	0.1	94	0	0	8	0.0	0
 239	932	-0.4	94	0	0	8	0.0	0
 240	933	-0.6	94	0	0	8	0.0	0
 241	933	-0.3	94	0	0	8	0.0	0
 242	932	-0.2	94	0	0	8	0.0	0
 243	932	-0.5	94	0	0	8	0.0	0
 244	932	-0.1	94	0	0	8	0.0	0
 245	932	0.2	94	0	0	8	0.0	0
 246	932	0.2	94	0	0	8	1.0	230
 247	933	0.1	94	0	0	8	0.0	0
 248	933	0.4	94	0	0	8	0.0	0
 249	934	0.4	94	0	18	8	0.0	0
 250	934	0.9	94	0	51	8	0.0	0
 251	935	1.6	94	0	75	8	0.0	0
 252	935	2.9	94	26	137	8	1.0	220
 253	934	3.8	89	26	135	8	1.0	250
 254	934	5.6	83	20	113	8	0.0	0
 255	934	4.4	87	11	72	8	0.0	0
 256	935	3.4	90	0	11	8	1.0	260
 257	935	2.4	90	0	0	8	1.0	220
 258	935	1.6	92	0	0	8	1.0	160
 259	935	1.0	93	0	0	8	1.0	200
 260	935	1.0	93	0	0	8	1.0	310
 261	936	0.7	94	0	0	8	0.0	0
 262	936	0.4	94	0	0	8	1.0	260
 263	936	0.4	94	0	0	8	1.0	240
 264	936	0.6	94	0	0	8	0.0	0
 265	936	0.3	94	0	0	8	1.0	220
 266	935	-0.3	94	0	0	8	1.0	320
 267	936	-0.6	94	0	0	8	2.0	100
 268	936	0.2	94	0	0	8	1.0	270
 269	935	0.4	94	0	0	8	1.0	360
 270	936	0.7	95	0	0	8	0.0	0
 271	936	0.7	95	0	0	8	0.0	0
 272	936	0.7	95	0	0	8	0.0	0
 273	937	0.9	95	0	19	8	1.0	50
 274	937	0.9	95	0	51	8	1.0	80
 275	937	0.7	95	0	75	8	2.0	60
 276	937	1.0	94	0	87	8	2.0	80
 277	937	0.6	94	0	86	8	2.0	60
 278	937	0.6	94	0	71	8	2.0	80
 279	936	0.5	93	0	45	8	1.0	100
 280	937	0.3	93	0	12	8	2.0	60
 281	937	0.2	94	0	0	8	2.0	70
 282	937	0.0	94	0	0	8	2.0	60
 283	937	-0.2	94	0	0	8	3.0	60
 284	938	-0.4	94	0	0	8	2.0	80
 285	938	-0.8	94	0	0	8	2.0	80
 286	939	-0.8	94	0	0	8	2.0	70
 287	939	-1.2	94	0	0	8	2.0	80
 288	939	-1.4	94	0	0	8	2.0	100
 289	938	-1.9	94	0	0	8	2.0	70
 290	938	-2.1	94	0	0	8	2.0	70
 291	938	-2.3	93	0	0	8	2.0	60
 292	939	-2.7	93	0	0	8	3.0	70
 293	939	-3.1	92	0	0	8	2.0	100
 294	939	-3.2	92	0	0	8	1.0	80
 295	940	-3.3	91	0	0	8	3.0	60
 296	940	-3.7	91	0	0	8	2.0	70
 297	940	-3.7	91	0	19	8	2.0	80
 298	941	-3.7	91	0	52	8	1.0	60
 299	941	-3.6	90	0	76	8	3.0	60
 300	941	-2.9	87	0	88	8	2.0	90
 301	941	-3.0	85	0	86	8	3.0	60
 302	941	-2.9	85	0	72	8	3.0	60
 303	941	-3.4	85	0	46	8	3.0	60
 304	941	-3.8	87	0	13	8	3.0	70
 305	941	-4.1	87	0	0	8	3.0	70
 306	942	-4.1	87	0	0	8	2.0	70
 307	942	-4.1	86	0	0	7	2.0	80
 308	942	-4.3	83	0	0	7	1.0	100
 309	942	-4.7	84	0	0	7	1.0	130
 310	943	-4.9	87	0	0	7	2.0	60
 311	942	-6.1	88	0	0	7	1.0	180
 312	943	-5.6	90	0	0	6	2.0	60
 313	942	-6.0	87	0	0	6	1.0	160
 314	942	-6.5	90	0	0	6	1.0	220
 315	942	-7.7	88	0	0	6	1.0	210
 316	942	-8.4	90	0	0	6	1.0	200
 317	942	-8.7	90	0	0	5	1.0	210
 318	942	-8.9	90	0	0	5	1.0	180
 319	942	-10.2	87	0	0	5	1.0	190
 320	942	-10.5	90	0	0	5	1.0	80
 321	942	-10.8	89	35	35	5	1.0	190
 322	942	-11.1	89	97	90	5	1.0	230
 323	942	-7.5	90	157	115	4	1.0	200
 324	941	-4.9	79	190	126	4	1.0	170
 325	941	-4.3	76	187	125	4	2.0	90
 326	941	-3.6	73	127	131	5	2.0	120
 327	941	-4.9	79	24	95	8	2.0	80
 328	940	-6.1	82	21	27	5	1.0	150
 329	940	-6.2	86	0	0	5	2.0	60
 330	941	-6.4	86	0	0	5	1.0	30
 331	941	-6.4	84	0	0	5	1.0	20
 332	940	-7.5	86	0	0	5	1.0	210
 333	940	-9.3	87	0	0	5	0.0	0
 334	940	-10.7	87	0	0	5	1.0	210
 335	940	-11.5	88	0	0	5	1.0	200
 336	939	-12.0	89	0	0	5	1.0	190
 337	939	-12.3	89	0	0	5	1.0	230
 338	938	-12.7	89	0	0	5	1.0	210
 339	938	-12.6	89	0	0	5	1.0	240
 340	938	-13.1	88	0	0	5	1.0	350
 341	937	-13.4	88	0	0	5	0.0	0
 342	937	-13.8	87	0	0	5	1.0	220
 343	937	-13.9	88	0	0	5	1.0	30
 344	937	-14.0	88	0	0	5	0.0	0
 345	938	-14.2	87	31	40	5	0.0	0
 346	938	-13.6	88	98	91	5	1.0	210
 347	938	-10.6	89	182	94	3	1.0	210
 348	938	-7.9	78	220	99	3	2.0	80
 349	938	-6.3	77	216	99	3	1.0	130
 350	938	-5.9	74	150	113	4	2.0	70
 351	938	-6.6	78	86	84	5	2.0	120
 352	938	-8.1	83	22	29	6	1.0	110
 353	938	-9.3	86	0	0	5	1.0	230
 354	938	-11.4	86	0	0	5	0.0	0
 355	938	-12.7	87	0	0	5	0.0	0
 356	938	-12.9	88	0	0	5	1.0	250
 357	938	-13.8	87	0	0	5	1.0	230
 358	938	-13.7	86	0	0	5	1.0	230
 359	938	-13.0	88	0	0	5	1.0	230
 360	938	-13.6	88	0	0	5	1.0	240
 361	938	-13.4	88	0	0	5	1.0	220
 362	938	-13.0	88	0	0	5	1.0	230
 363	938	-13.4	87	0	0	5	1.0	230
 364	938	-13.4	87	0	0	5	1.0	250
 365	938	-13.5	88	0	0	5	1.0	220
 366	938	-13.8	87	0	0	5	0.0	0
 367	938	-13.1	88	0	0	5	0.0	0
 368	938	-13.3	86	0	0	5	1.0	220
 369	938	-13.1	88	32	41	5	1.0	250
 370	938	-11.8	89	100	92	5	1.0	190
 371	938	-7.3	90	161	117	4	1.0	140
 372	938	-4.0	84	194	127	4	1.0	150
 373	937	-1.8	74	192	127	4	1.0	200
 374	936	-0.8	69	175	93	3	2.0	190
 375	936	-1.9	72	88	86	5	2.0	220
 376	936	-5.1	83	27	27	5	2.0	240
 377	936	-7.0	86	0	0	5	1.0	220
 378	936	-8.1	89	0	0	5	1.0	210
 379	936	-8.8	90	0	0	5	1.0	210
 380	936	-9.6	90	0	0	5	1.0	220
 381	936	-10.2	89	0	0	5	1.0	230
 382	936	-10.5	89	0	0	5	1.0	230
 383	936	-10.9	89	0	0	5	0.0	0
 384	936	-11.3	89	0	0	5	0.0	0
 385	936	-11.5	89	0	0	5	1.0	230
 386	936	-11.8	89	0	0	5	1.0	210
 387	936	-12.3	88	0	0	5	1.0	280
 388	936	-12.3	88	0	0	5	1.0	210
 389	936	-12.8	87	0	0	5	1.0	240
 390	936	-12.8	88	0	0	5	1.0	210
 391	936	-13.0	87	0	0	5	1.0	210
 392	936	-13.0	88	0	0	5	1.0	260
 393	936	-12.6	88	37	38	5	1.0	320
 394	936	-12.2	89	101	93	5	1.0	250
 395	936	-7.8	90	116	156	6	2.0	170
 396	935	-3.7	81	197	128	4	1.0	210
 397	935	-1.1	70	166	153	5	2.0	200
 398	934	-0.2	62	155	115	4	2.0	190
 399	934	-1.7	66	91	87	5	1.0	220
 400	934	-5.0	80	24	32	6	1.0	200
 401	934	-6.3	83	0	0	6	1.0	250
 402	935	-7.5	87	0	0	6	1.0	230
 403	935	-7.9	90	0	0	6	1.0	190
 404	935	-8.4	90	0	0	6	1.0	230
 405	935	-8.8	90	0	0	6	1.0	210
 406	935	-8.8	90	0	0	6	1.0	230
 407	935	-8.6	91	0	0	6	1.0	230
 408	934	-8.0	91	0	0	7	1.0	260
 409	934	-7.1	90	0	0	7	1.0	210
 410	934	-6.3	90	0	0	7	2.0	200
 411	934	-6.6	90	0	0	7	1.0	170
 412	934	-6.9	90	0	0	7	1.0	240
 413	934	-6.8	90	0	0	7	0.0	0
 414	934	-6.6	90	0	0	7	1.0	140
 415	935	-6.4	91	0	0	7	1.0	170
 416	935	-5.7	91	0	0	8	1.0	190
 417	935	-5.2	90	5	36	8	1.0	210
 418	935	-4.6	90	15	90	8	1.0	250
 419	935	-3.1	86	47	156	7	1.0	250
 420	934	1.5	61	85	191	7	1.0	110
 421	934	3.4	56	112	188	6	1.0	170
 422	934	1.2	66	45	151	7	1.0	160
 423	934	1.4	63	13	83	8	1.0	100
 424	934	1.3	67	4	28	8	1.0	150
 425	934	0.6	71	0	0	8	1.0	210
 426	934	-2.0	82	0	0	8	0.0	0
 427	935	-3.6	86	0	0	8	1.0	200
 428	935	-3.9	89	0	0	8	1.0	230
 429	935	-5.0	90	0	0	8	0.0	0
 430	935	-6.0	90	0	0	7	1.0	190
 431	935	-7.0	91	0	0	7	1.0	230
 432	935	-7.3	91	0	0	7	1.0	270
 433	935	-7.4	91	0	0	7	1.0	200
 434	935	-7.9	91	0	0	7	1.0	220
 435	935	-8.1	90	0	0	7	1.0	250
 436	935	-8.6	90	0	0	7	1.0	230
 437	935	-9.2	90	0	0	7	1.0	210
 438	934	-9.1	90	0	0	7	1.0	230
 439	935	-8.9	90	0	0	7	1.0	230
 440	935	-8.9	90	0	0	7	1.0	220
 441	935	-8.7	90	25	52	7	1.0	210
 442	935	-8.6	90	60	124	6	1.0	240
 443	935	-2.7	89	143	142	5	1.0	190
 444	935	0.1	74	173	157	5	1.0	210
 445	935	3.5	59	142	177	6	1.0	140
 446	935	4.8	50	92	165	6	2.0	110
 447	935	2.8	55	41	115	7	2.0	230
 448	936	-1.1	73	16	43	7	1.0	200
 449	936	-2.4	76	0	0	7	1.0	220
 450	937	-2.9	83	0	0	6	1.0	250
 451	937	-4.3	85	0	0	6	0.0	0
 452	937	-4.3	88	0	0	6	0.8	210
 453	937	-4.6	89	0	0	6	0.7	210
 454	937	-4.7	89	0	0	6	0.8	210
 455	938	-4.6	89	0	0	5	0.7	0
 456	938	-4.7	89	0	0	5	0.8	260
 457	939	-4.7	92	0	0	5	0.8	230
 458	940	-4.9	93	0	0	5	1.0	240
 459	940	-5.1	93	0	0	5	1.0	240
 460	940	-5.3	93	0	0	4	1.0	250
 461	941	-5.3	93	0	0	4	1.0	260
 462	941	-5.7	92	0	0	4	1.0	230
 463	941	-5.6	93	0	0	4	1.0	230
 464	941	-5.8	92	0	0	4	1.0	240
 465	941	-5.7	91	41	41	3	1.0	250
 466	941	-5.3	91	121	81	3	1.0	240
 467	941	-2.5	89	193	97	3	1.0	190
 468	940	2.0	74	233	102	2	0.0	0
 469	939	4.0	68	231	102	2	1.0	210
 470	939	5.9	59	186	96	3	1.0	200
 471	939	6.7	51	112	78	4	1.0	210
 472	939	1.0	70	33	34	5	1.0	240
 473	939	0.0	76	0	0	5	1.0	230
 474	940	-1.4	79	0	0	4	1.0	220
 475	940	-2.1	82	0	0	4	1.0	220
 476	940	-2.9	83	0	0	4	1.0	210
 477	940	-3.2	86	0	0	4	0.0	0
 478	940	-3.9	87	0	0	4	1.0	250
 479	940	-4.1	89	0	0	4	1.0	240
 480	940	-4.8	90	0	0	4	1.0	240
 481	940	-4.9	90	0	0	4	1.0	240
 482	940	-5.1	90	0	0	4	2.0	240
 483	940	-5.6	91	0	0	4	1.0	260
 484	940	-5.4	93	0	0	4	1.0	220
 485	940	-6.0	92	0	0	3	1.0	260
 486	940	-6.0	92	0	0	3	1.0	260
 487	940	-6.3	92	0	0	3	1.0	270
 488	940	-6.5	92	0	0	3	1.0	230
 489	940	-6.3	92	42	42	3	1.0	240
 490	940	-5.8	91	123	82	3	1.0	220
 491	940	-2.7	87	196	98	2	1.0	190
 492	940	0.7	75	236	103	2	0.0	0
 493	939	3.4	64	234	103	2	1.0	210
 494	939	4.4	59	190	97	3	2.0	100
 495	939	6.2	51	114	79	4	1.0	220
 496	939	0.4	69	35	36	5	1.0	240
 497	939	-0.4	73	0	0	5	1.0	220
 498	939	-1.8	78	0	0	5	1.0	240
 499	940	-3.0	80	0	0	4	0.0	0
 500	940	-3.4	84	0	0	4	0.0	0
 501	940	-4.2	85	0	0	4	1.0	230
 502	940	-4.8	87	0	0	4	1.0	250
 503	940	-5.3	88	0	0	4	1.0	250
 504	940	-5.6	88	0	0	4	1.0	220
 505	940	-5.8	90	0	0	4	1.0	230
 506	940	-6.2	90	0	0	4	1.0	240
 507	940	-6.3	91	0	0	4	1.0	250
 508	940	-6.6	90	0	0	4	1.0	220
 509	940	-6.9	91	0	0	4	1.0	220
 510	940	-6.9	91	0	0	4	1.0	230
 511	940	-7.3	90	0	0	4	1.0	240
 512	940	-7.3	90	0	0	4	0.0	0
 513	941	-7.1	91	38	48	4	1.0	270
 514	941	-6.5	90	110	98	4	1.0	180
 515	941	-3.4	83	174	123	4	0.0	0
 516	940	1.1	66	150	183	6	0.0	0
 517	939	2.3	62	119	195	6	0.0	0
 518	939	3.5	63	72	172	7	1.0	120
 519	938	5.6	52	15	90	8	1.0	150
 520	939	1.1	65	5	35	8	1.0	230
 521	939	0.2	67	0	0	8	1.0	240
 522	939	-1.8	75	0	0	8	1.0	230
 523	939	-2.8	78	0	0	8	1.0	250
 524	940	-3.5	82	0	0	8	0.0	0
 525	940	-3.6	82	0	0	8	0.0	0
 526	939	-4.3	85	0	0	8	1.0	230
 527	939	-5.0	86	0	0	8	0.0	0
 528	939	-5.6	88	0	0	8	1.0	240
 529	939	-5.8	91	0	0	7	1.0	210
 530	939	-6.0	90	0	0	7	1.0	270
 531	939	-6.4	90	0	0	7	0.0	0
 532	938	-6.7	91	0	0	7	1.0	230
 533	939	-6.9	92	0	0	7	1.0	260
 534	939	-7.4	91	0	0	7	1.0	240
 535	939	-7.4	91	0	0	7	1.0	230
 536	939	-7.4	90	0	0	7	1.0	270
 537	939	-7.3	90	28	58	7	1.0	250
 538	939	-6.3	89	48	129	7	1.0	210
 539	939	-3.1	80	76	177	7	1.0	200
 540	939	0.5	65	121	198	6	0.0	0
 541	938	2.1	58	120	197	6	0.0	0
 542	938	4.3	45	123	163	6	1.0	210
 543	938	5.5	47	105	96	5	1.0	210
 544	938	1.0	64	34	44	6	1.0	220
 545	938	-0.4	63	0	0	6	1.0	230
 546	938	-2.0	69	0	0	6	1.0	230
 547	939	-3.3	76	0	0	6	1.0	210
 548	939	-4.2	78	0	0	6	1.0	200
 549	939	-4.3	81	0	0	6	1.0	200
 550	939	-5.0	82	0	0	5	1.0	210
 551	939	-5.4	83	0	0	5	1.0	240
 552	939	-5.4	86	0	0	5	1.0	210
 553	939	-6.0	86	0	0	5	1.0	230
 554	939	-6.3	86	0	0	5	1.0	230
 555	939	-6.7	88	0	0	5	1.0	230
 556	939	-7.0	90	0	0	5	1.0	220
 557	939	-7.6	88	0	0	5	1.0	250
 558	939	-7.2	89	0	0	5	1.0	250
 559	940	-7.6	88	0	0	5	1.0	240
 560	940	-7.9	88	0	0	5	1.0	240
 561	940	-7.3	89	29	60	5	0.0	0
 562	941	-6.5	88	81	126	5	1.0	220
 563	941	-2.5	78	153	148	5	0.0	0
 564	940	0.6	63	92	202	7	1.0	200
 565	940	3.5	53	61	188	7	0.0	0
 566	940	4.2	51	125	165	6	0.0	0
 567	940	6.4	44	92	111	6	1.0	220
 568	940	2.2	61	35	46	6	2.0	220
 569	941	0.3	61	0	0	6	1.0	210
 570	942	-1.6	75	0	0	6	1.0	250
 571	942	-2.0	75	0	0	6	1.0	240
 572	942	-2.7	77	0	0	6	1.0	210
 573	942	-3.3	83	0	0	6	1.0	270
 574	942	-4.0	82	0	0	6	1.0	250
 575	942	-4.4	84	0	0	6	1.0	250
 576	942	-4.7	86	0	0	6	0.0	0
 577	943	-4.9	87	0	0	6	1.0	230
 578	942	-4.9	89	0	0	6	1.0	220
 579	942	-4.8	88	0	0	7	1.0	230
 580	942	-5.0	89	0	0	7	1.0	230
 581	942	-4.9	89	0	0	7	0.0	0
 582	941	-4.5	89	0	0	7	1.0	250
 583	941	-4.9	88	0	0	7	1.0	230
 584	942	-4.9	89	0	0	7	1.0	240
 585	942	-4.5	88	6	44	7	1.0	260
 586	942	-3.0	86	17	99	7	1.0	270
 587	942	-0.6	80	52	168	7	1.0	90
 588	941	2.5	67	31	157	8	0.0	0
 589	940	5.4	58	62	190	7	0.0	0
 590	939	7.2	48	51	165	7	0.0	0
